phase,stage_id,parent_id,stage,arm,id,family,tau,x,slot,target,z_before,increment,z_after,r,u,pure,cross,residual,abs_residual,status,program_sha256
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/64:s=0,ZERO,1/64,1/64,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/64:s=1,ZERO,1/64,1/64,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/16:s=0,ZERO,1/64,1/16,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/16:s=1,ZERO,1/64,1/16,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/8:s=0,ZERO,1/64,1/8,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/8:s=1,ZERO,1/64,1/8,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/4:s=0,ZERO,1/64,1/4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/4:s=1,ZERO,1/64,1/4,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/2:s=0,ZERO,1/64,1/2,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,ZERO:t=1/64:x=1/2:s=1,ZERO,1/64,1/2,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
