phase,stage,family,treatment,control,mean_absolute_residual_difference,paired_positions,formation_histories,post_adaptation,supplementary_observation
A,W1,ZERO,NS,NUMERIC,0.0,144,4,True,False
A,W1,UNIFORM,NS,NUMERIC,0.0000043620022655010155821407014552123254,144,4,True,False
A,W1,LEFT,NS,NUMERIC,-224.66531461444457501251074011365819,144,4,True,False
A,W1,RIGHT,NS,NUMERIC,-224.6653321909743009145674669362408,144,4,True,False
A,W1,BOTH,NS,NUMERIC,-282.44659536107200478203483822532515,144,4,True,False
A,W2,ZERO,NS,NUMERIC,0.0,144,4,True,True
A,W2,UNIFORM,NS,NUMERIC,-7.742100039596008381120149825486785e-11,144,4,True,True
A,W2,LEFT,NS,NUMERIC,-1020169.2403255056161585152111086724,144,4,True,True
A,W2,RIGHT,NS,NUMERIC,-1020169.6545036761509804845955160509,144,4,True,True
A,W2,BOTH,NS,NUMERIC,-1497107.1127416104367747454025882625,144,4,True,True
B,W2,ZERO,REVISED,INITIAL,0.0,288,8,True,False
B,W2,UNIFORM,REVISED,INITIAL,-0.000000034361606703144723446210051817322642,288,8,True,False
B,W2,LEFT,REVISED,INITIAL,1020169.2403244162883944444260293112,288,8,True,False
B,W2,RIGHT,REVISED,INITIAL,1020169.6545024724413237116479555572,288,8,True,False
B,W2,BOTH,REVISED,INITIAL,1497107.1127412414727730503538541527,288,8,True,False
