stratum,endpoint,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
main96,U,S_DN_UF,S: DN−UF,0.009950248756218905,-0.16319444444444442,0.18055555555555547,0.0005299947000529995,67,equivalence,0.1,False
main96,U,C_DN_UF,C: DN−UF,-0.0041666666666666675,-0.10763888888888895,0.09027777777777768,1.0,80,superiority,0.15,False
main96,U,C_MINUS_S,C−S,-0.01169590643274854,-0.2881944444444444,0.2534722222222221,1.0,57,superiority,0.15,False
main96,U,R0_DN_UF,R0: DN−UF,-0.016064257028112452,-0.09027777777777779,0.05555555555555547,9.99990000099999e-06,83,equivalence,0.1,True
main96,U,R1_DN_UF,R1: DN−UF,-0.015151515151515154,-0.0625,0.03125,1.0,88,superiority,0.15,False
main96,U,R1_MINUS_R0,R1−R0,-0.004273504273504274,-0.11805555555555547,0.12152777777777779,1.0,78,superiority,0.15,False
main96,U,C_DN_X,C: DN−X,0.0,-0.10416666666666663,0.17708333333333326,1.0,71,superiority,0.15,False
main96,U,C_DN_CO,C: DN−CO,0.00432900432900433,-0.10069444444444453,0.1284722222222221,1.0,77,superiority,0.1,False
main96,U,C_DN_N0,C: DN−N0,0.025,-0.08333333333333337,0.08333333333333326,1.0,80,superiority,0.1,False
main96,U,R1_DN_X,R1: DN−X,0.011363636363636364,-0.04513888888888884,0.04861111111111116,1.0,88,superiority,0.15,False
main96,U,R1_DN_CO,R1: DN−CO,-0.007662835249042146,-0.0625,0.04166666666666674,1.0,87,superiority,0.1,False
main96,U,R1_DN_N0,R1: DN−N0,0.04119850187265918,-0.01388888888888884,0.06944444444444453,0.999960000399996,89,superiority,0.1,False
main96,A_FT,S_DN_UF,S: DN−UF,0.0,-0.1875,0.15625,0.11214887851121488,67,equivalence,0.1,False
main96,A_FT,C_DN_UF,C: DN−UF,-0.025,-0.13541666666666663,0.0625,1.0,80,superiority,0.15,False
main96,A_FT,C_MINUS_S,C−S,-0.03508771929824561,-0.29166666666666663,0.25,0.960760392396076,57,superiority,0.15,False
main96,A_FT,R0_DN_UF,R0: DN−UF,-0.024096385542168676,-0.10416666666666674,0.04166666666666674,0.026769732302676975,83,equivalence,0.1,False
main96,A_FT,R1_DN_UF,R1: DN−UF,0.011363636363636364,-0.02083333333333337,0.07291666666666663,1.0,88,superiority,0.15,False
main96,A_FT,R1_MINUS_R0,R1−R0,0.05128205128205128,-0.06250000000000011,0.17708333333333337,0.9792402075979241,78,superiority,0.15,False
main96,A_FT,C_DN_X,C: DN−X,0.014084507042253521,-0.09375,0.1875,0.999960000399996,71,superiority,0.15,False
main96,A_FT,C_DN_CO,C: DN−CO,-0.03896103896103896,-0.13541666666666663,0.09375,1.0,77,superiority,0.1,False
main96,A_FT,C_DN_N0,C: DN−N0,-0.05,-0.13541666666666663,0.03125,1.0,80,superiority,0.1,False
main96,A_FT,R1_DN_X,R1: DN−X,0.09090909090909091,0.03125,0.125,0.955040449595504,88,superiority,0.15,False
main96,A_FT,R1_DN_CO,R1: DN−CO,-0.011494252873563218,-0.0625,0.04166666666666663,1.0,87,superiority,0.1,False
main96,A_FT,R1_DN_N0,R1: DN−N0,0.033707865168539325,-0.01041666666666674,0.07291666666666663,0.987280127198728,89,superiority,0.1,False
main96,P,S_DN_UF,S: DN−UF,0.0,-0.17708333333333326,0.16666666666666663,9.99990000099999e-06,67,equivalence,0.1,False
main96,P,C_DN_UF,C: DN−UF,0.025,-0.08333333333333326,0.11458333333333337,1.0,80,superiority,0.15,False
main96,P,C_MINUS_S,C−S,0.0,-0.25,0.29166666666666663,1.0,57,superiority,0.15,False
main96,P,R0_DN_UF,R0: DN−UF,0.024096385542168676,-0.05208333333333326,0.09375,9.99990000099999e-06,83,equivalence,0.1,True
main96,P,R1_DN_UF,R1: DN−UF,0.022727272727272728,-0.03125,0.0625,1.0,88,superiority,0.15,False
main96,P,R1_MINUS_R0,R1−R0,0.0,-0.125,0.11458333333333326,1.0,78,superiority,0.15,False
main96,P,C_DN_X,C: DN−X,0.0,-0.10416666666666663,0.17708333333333337,1.0,71,superiority,0.15,False
main96,P,C_DN_CO,C: DN−CO,0.012987012987012988,-0.09375,0.13541666666666663,1.0,77,superiority,0.1,False
