stratum,channel,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
main48,A_SIB,C_DN_CO,C: DN−CO,0.043478260869565216,0.02083333333333337,0.0625,0.9108708912910871,46,superiority,0.1,False
main48,A_SIB,C_DN_N0,C: DN−N0,0.1956521739130435,0.16666666666666674,0.20833333333333326,0.07954920450795493,46,superiority,0.1,True
main48,A_SIB,C_DN_UF,C: DN−UF,0.0425531914893617,0.02083333333333337,0.04166666666666663,0.994470055299447,47,superiority,0.15,False
main48,A_SIB,C_DN_X,C: DN−X,0.11627906976744186,0.08333333333333337,0.1875,0.6982730172698273,43,superiority,0.15,False
main48,A_SIB,C_MINUS_S,C−S,0.044444444444444446,-0.020833333333333297,0.04166666666666663,0.993020069799302,45,superiority,0.15,False
main48,A_SIB,R0_DN_UF,R0: DN−UF,0.06521739130434782,0.04166666666666674,0.08333333333333326,0.22817771822281777,46,equivalence,0.1,True
main48,A_SIB,R1_DN_CO,R1: DN−CO,0.20833333333333334,0.20833333333333337,0.20833333333333337,0.04089959100408996,48,superiority,0.1,True
main48,A_SIB,R1_DN_N0,R1: DN−N0,0.22916666666666666,0.22916666666666674,0.22916666666666674,0.02243977560224398,48,superiority,0.1,True
main48,A_SIB,R1_DN_UF,R1: DN−UF,0.0425531914893617,0.04166666666666674,0.0625,0.980960190398096,47,superiority,0.15,False
main48,A_SIB,R1_DN_X,R1: DN−X,0.14893617021276595,0.14583333333333337,0.16666666666666674,0.5002649973500265,47,superiority,0.15,False
main48,A_SIB,R1_MINUS_R0,R1−R0,-0.044444444444444446,-0.04166666666666652,0.02083333333333326,0.996610033899661,45,superiority,0.15,False
main48,A_SIB,S_DN_UF,S: DN−UF,0.021739130434782608,0.0,0.04166666666666667,1.999980000199998e-05,46,equivalence,0.1,True
main48,R,C_DN_CO,C: DN−CO,0.7142857142857143,0.6083333333333334,0.7333333333333334,9.99990000099999e-06,42,superiority,0.1,True
main48,R,C_DN_N0,C: DN−N0,0.702325581395349,0.6291666666666668,0.7333333333333334,9.99990000099999e-06,43,superiority,0.1,True
main48,R,C_DN_UF,C: DN−UF,0.7230769230769232,0.5458333333333334,0.7333333333333334,9.99990000099999e-06,39,superiority,0.15,True
main48,R,C_DN_X,C: DN−X,0.019512195121951216,-0.008333333333333304,0.13750000000000007,0.977460225397746,41,superiority,0.15,False
main48,R,C_MINUS_S,C−S,-1.2335811384723961e-17,-0.19166666666666654,0.10000000000000005,0.987430125698743,36,superiority,0.15,False
main48,R,R0_DN_UF,R0: DN−UF,0.702439024390244,0.525,0.7125,1.0,41,equivalence,0.1,False
main48,R,R1_DN_CO,R1: DN−CO,0.7951219512195122,0.6625,0.8083333333333332,9.99990000099999e-06,41,superiority,0.1,True
main48,R,R1_DN_N0,R1: DN−N0,0.7809523809523808,0.6833333333333333,0.8083333333333332,9.99990000099999e-06,42,superiority,0.1,True
