stratum,failure_code,count,registered_rows,rows_with_failure
main96,ACTION_NOT_IN_CATALOGUE,3,1920,1096
main96,ARGUMENT_SCHEMA_VIOLATION,34,1920,1096
main96,NON_JSON_CONTENT,60,1920,1096
main96,RECOVERED_UNCOMMITTED_TYPED_FAILURE_METADATA_PARTIAL,2,1920,1096
main96,SCHEMA_VIOLATION,63,1920,1096
main96,TOOL_NOT_ALLOWED_THIS_TURN,895,1920,1096
main96,Y_MISSING_TRANSPORT,183,1920,1096
main96,Y_MISSING_TRANSPORT_HTTP_400,1,1920,1096
main96,Y_MISSING_TRANSPORT_HTTP_500,13,1920,1096
sealed32,ACTION_NOT_IN_CATALOGUE,1,640,338
sealed32,ARGUMENT_SCHEMA_VIOLATION,7,640,338
sealed32,NON_JSON_CONTENT,20,640,338
sealed32,SCHEMA_VIOLATION,20,640,338
sealed32,TOOL_NOT_ALLOWED_THIS_TURN,269,640,338
sealed32,Y_MISSING_TRANSPORT,50,640,338
sealed32,Y_MISSING_TRANSPORT_HTTP_500,3,640,338
