condition,endpoint,stratum,estimate,ci_lower,ci_upper
QWEN3_14B,U,main96,0.0,0.0,0.0
QWEN3_14B,U,sealed32,0.0,0.0,0.0
QWEN3_14B,A_FT,main96,0.0,0.0,0.0
QWEN3_14B,A_FT,sealed32,0.0,0.0,0.0
QWEN3_14B,P,main96,0.0,0.0,0.0
QWEN3_14B,P,sealed32,0.0,0.0,0.0
QWEN3_14B,ORDERED_O,main96,0.0,0.0,0.0
QWEN3_14B,ORDERED_O,sealed32,0.0,0.0,0.0
PHI4,U,main96,0.0,0.0,0.0
PHI4,U,sealed32,0.0,0.0,0.0
PHI4,A_FT,main96,0.0,0.0,0.0
PHI4,A_FT,sealed32,0.0,0.0,0.0
PHI4,P,main96,0.0,0.0,0.0
PHI4,P,sealed32,0.0,0.0,0.0
PHI4,ORDERED_O,main96,0.0,0.0,0.0
PHI4,ORDERED_O,sealed32,0.0,0.0,0.0
QWEN3_8B_SECONDARY,U,main96,0.0,0.0,0.0
QWEN3_8B_SECONDARY,U,sealed32,0.0,0.0,0.0
QWEN3_8B_SECONDARY,A_FT,main96,0.0,0.0,0.0
QWEN3_8B_SECONDARY,A_FT,sealed32,0.0,0.0,0.0
QWEN3_8B_SECONDARY,P,main96,0.0,0.0,0.0
QWEN3_8B_SECONDARY,P,sealed32,0.0,0.0,0.0
QWEN3_8B_SECONDARY,ORDERED_O,main96,0.0,0.0,0.0
QWEN3_8B_SECONDARY,ORDERED_O,sealed32,0.0,0.0,0.0
