dataset,metric,n_queries,auc,d_prime,mu_pos,sigma_pos,mu_neg,sigma_neg
nfcorpus,s1_byte_cos,323,0.6107202051474497,0.046730630335390023,0.6695520110909853,0.18918323439517643,0.660702597968969,0.189558020568821
nfcorpus,s2_char_jac,323,0.5186227601088281,0.011872558003755815,0.2254883906323677,0.10041439222726782,0.22427654345023978,0.10370169663458861
nfcorpus,s3_2gram_jac,323,0.5931450730212341,0.09079900398831656,0.04736078118765639,0.03234971105022045,0.04447163594857422,0.03127954860583808
nfcorpus,s4_3gram_jac,323,0.677049129061513,0.3642128215929428,0.01221410576225264,0.011374019055035019,0.008597697294272542,0.008235105934816227
nfcorpus,s5_lev,323,0.4867248334740594,-0.022015678713525468,0.013472318960545161,0.01091330769504831,0.013718360920303587,0.011432190310791786
nfcorpus,s6_bm25,323,0.6851174281514838,0.7367166194549338,6.1291058730105865,8.206171595600148,1.619329239425752,2.757378671104691
scifact,s1_byte_cos,300,0.7687205387205387,0.3482777686612305,0.9246569416920344,0.04296820766117876,0.909362625628208,0.044840106922126345
scifact,s2_char_jac,300,0.5677104377104376,0.16034001859244157,0.4734595544657865,0.10798330450248886,0.4577481131389666,0.08685049672044229
scifact,s3_2gram_jac,300,0.6529292929292929,0.3039282126837414,0.19268970982471367,0.0629736833236552,0.1743820593916322,0.057369411925424156
scifact,s4_3gram_jac,300,0.9119696969696969,1.0611658235336763,0.07881857778210404,0.033915981748461964,0.04884746888035683,0.021097498147222858
scifact,s5_lev,300,0.5571380471380472,0.043784786934162614,0.05922134956189897,0.025536199815793637,0.05806374399775909,0.02731107148262549
scifact,s6_bm25,300,0.9770707070707071,1.7611990234791786,39.31886924775329,22.520204996281866,9.847708494526724,7.270874366893911
fiqa,s1_byte_cos,648,0.7219104626512034,0.25642340850485107,0.8946017580635753,0.06117461281711738,0.8776002508249995,0.07106126762510269
fiqa,s2_char_jac,648,0.4401733383214864,-0.1481542728805293,0.44789087026640784,0.09674186285404546,0.4627034283157745,0.10311772930715624
fiqa,s3_2gram_jac,648,0.5883448684374609,0.2108424927737847,0.16637818524602035,0.059985647477146874,0.1543245355222178,0.05420614422530985
fiqa,s4_3gram_jac,648,0.8229439456291309,0.8479803557476712,0.06384916346450897,0.03176259951556913,0.04123528651264088,0.020334546291369406
fiqa,s5_lev,648,0.3470741364259883,-0.3989756512378689,0.07524383115732028,0.05409934934467992,0.09683409974404235,0.05412914881726408
fiqa,s6_bm25,648,0.9312648085796232,1.3812062262128346,22.62329770467067,12.430066425783842,8.646427087637148,7.09188311042068
arguana,s1_byte_cos,1000,0.7369949494949494,0.5230889059342089,0.9851252261400223,0.008189870250259119,0.979092591410578,0.01410436131117933
arguana,s2_char_jac,1000,0.6554747474747474,0.5450775902639962,0.6575038034429636,0.10007518660118393,0.6082048747185679,0.07965642222937892
arguana,s3_2gram_jac,1000,0.8257575757575758,1.0358934370289936,0.5199964431776667,0.06735886404620206,0.45743190022296865,0.0525195741093136
arguana,s4_3gram_jac,1000,0.9126969696969697,1.2513791824888634,0.2660826613956916,0.06878271995344273,0.19705903798145588,0.036793426880553995
arguana,s5_lev,1000,0.7232626262626263,0.5594391475551104,0.27430083630402163,0.053940830126241644,0.24992387493254606,0.02979532381717024
arguana,s6_bm25,1000,0.9703585858585858,0.903013739458052,304.2121658163266,168.40302478117553,181.04490687448222,94.06400049122304
trec-covid,s1_byte_cos,50,0.6814141414141414,0.39699035377831926,0.9039174950122834,0.04612909083899618,0.8787573578818277,0.0768468996756358
trec-covid,s2_char_jac,50,0.5281818181818183,0.04971721455507695,0.45409887587569125,0.10624481783796502,0.4489006112895643,0.10284074068410481
trec-covid,s3_2gram_jac,50,0.6046464646464645,0.3215824080999428,0.1676439618399477,0.06703272541988876,0.14819636421313914,0.053113001018925105
trec-covid,s4_3gram_jac,50,0.7685858585858586,0.6560255702682827,0.06913599123999037,0.04613687947004387,0.044843255968335105,0.024776089861747064
trec-covid,s5_lev,50,0.43959595959595965,-0.1807416064069048,0.0714169912049561,0.0765701746577043,0.08485091315537362,0.07201330748094817
trec-covid,s6_bm25,50,0.8757575757575757,1.0742585299189196,21.795695488842686,11.358646008848343,11.02005353161152,8.497877310694559
quora,s1_byte_cos,1000,0.9711717171717171,2.076364016308662,0.9448556190729142,0.045531533368288274,0.8097267420555305,0.07998487538808975
quora,s2_char_jac,1000,0.9699898989898991,2.437151066262778,0.827198486687294,0.11946391538667515,0.5527552859791034,0.10530711013700862
quora,s3_2gram_jac,1000,0.9985858585858586,3.535700666721304,0.6186421887408655,0.18128708576397373,0.14207947677813051,0.058902358357337425
quora,s4_3gram_jac,1000,0.9988585858585859,3.3473418615412713,0.5172840297363182,0.19842185726939415,0.03969579013321599,0.03663525092263277
