dataset,scorer,n_queries,ndcg10,p10,mrr10,runtime_s
nfcorpus,bm25,323,0.30632221168269674,0.21733746130030962,0.5061243795763919,0.0025959014892578125
nfcorpus,s1,323,0.13660502801123323,0.11733746130030959,0.24176495159467296,0.5268614292144775
nfcorpus,s4,323,0.2401175654016554,0.178328173374613,0.42862671384343204,4.261425018310547
nfcorpus,bge,323,0.3104434723992524,0.22229102167182666,0.5300850164627255,288.2131013870239
nfcorpus,maofield_baseline,323,0.056456567794185446,0.05820433436532508,0.12946704997788586,937.664341894
nfcorpus,maofield_E,323,0.20261068092472242,0.17461300309597524,0.3210329745933461,701.626141548
scifact,bm25,300,0.6594488905317624,0.08533333333333332,0.6291931216931217,0.0023720264434814453
scifact,s1,300,0.19202033082059464,0.03200000000000001,0.16835582010582012,0.4967637062072754
scifact,s4,300,0.4109924192649119,0.059,0.3788452380952381,4.131507635116577
scifact,bge,300,0.6222744887850911,0.08299999999999999,0.5898095238095238,310.6618676185608
scifact,maofield_baseline,300,0.040265774019484946,0.009666666666666667,0.026030423280423282,856.357965489
scifact,maofield_E,300,0.30020025350625096,0.06899999999999999,0.20682407407407408,668.410506883
fiqa,bm25,648,0.21668445500943226,0.06188271604938272,0.27028586125808346,0.002856731414794922
fiqa,s1,648,0.06860666799533154,0.022222222222222223,0.07411204193611601,0.4436502456665039
fiqa,s4,648,0.11634169910418359,0.036882716049382716,0.14787073780129337,5.026148557662964
fiqa,bge,648,0.2992415717099509,0.079320987654321,0.3827632030178326,574.268392086029
fiqa,maofield_baseline,648,0.02942197226937069,0.013117283950617283,0.03745100921026846,1874.02398354
fiqa,maofield_E,648,0.10819505917606086,0.04444444444444445,0.11415527630805408,1419.176767294
arguana,bm25,1406,0.283768622138595,0.0603840682788051,0.18359468491047437,0.009388923645019531
arguana,s1,1406,0.05558957164452322,0.012731152204836414,0.034429542324279166,1.0766820907592773
arguana,s4,1406,0.20854026300588058,0.04516358463726884,0.13289247894511053,14.630795001983643
arguana,bge,1406,0.45602944812039653,0.07105263157894737,0.3754812142970037,3438.7642855644226
arguana,maofield_baseline,1406,0.028899715868995656,0.006827880512091039,0.017203481677165885,4116.992072644
arguana,maofield_E,1406,0.15138406794408463,0.03470839260312944,0.09371796608638713,3059.830323089
trec-covid,bm25,50,0.5588999629852218,0.634,0.7825238095238096,0.00027108192443847656
trec-covid,s1,50,0.4298544122697421,0.5100000000000001,0.6917460317460318,0.03688311576843262
trec-covid,s4,50,0.3961754384129806,0.47,0.6211587301587301,0.3218839168548584
trec-covid,bge,50,0.7256565445970119,0.7979999999999999,0.8956666666666666,41.56570267677307
trec-covid,maofield_baseline,50,0.3553447417725055,0.43,0.6396666666666667,147.930268777
trec-covid,maofield_E,50,0.49318536338014773,0.5780000000000001,0.7030238095238096,110.287798554
