dataset,scorer,n_queries,ndcg10,p10,mrr10,runtime_s
nfcorpus,bm25,323,0.30632221168269674,0.21733746130030962,0.5061243795763919,0.0025959014892578125
nfcorpus,s1,323,0.13660502801123323,0.11733746130030959,0.24176495159467296,0.5268614292144775
nfcorpus,s4,323,0.2401175654016554,0.178328173374613,0.42862671384343204,4.261425018310547
nfcorpus,bge,323,0.3104434723992524,0.22229102167182666,0.5300850164627255,288.2131013870239
nfcorpus,maofield_baseline,323,0.056456567794185446,0.05820433436532508,0.12946704997788586,937.664341894
nfcorpus,maofield_E,323,0.20261068092472242,0.17461300309597524,0.3210329745933461,701.626141548
scifact,bm25,300,0.6594488905317624,0.08533333333333332,0.6291931216931217,0.0023720264434814453
scifact,s1,300,0.19202033082059464,0.03200000000000001,0.16835582010582012,0.4967637062072754
scifact,s4,300,0.4109924192649119,0.059,0.3788452380952381,4.131507635116577
scifact,bge,300,0.6222744887850911,0.08299999999999999,0.5898095238095238,310.6618676185608
scifact,maofield_baseline,300,0.040265774019484946,0.009666666666666667,0.026030423280423282,856.357965489
scifact,maofield_E,300,0.30020025350625096,0.06899999999999999,0.20682407407407408,668.410506883
fiqa,bm25,648,0.21668445500943226,0.06188271604938272,0.27028586125808346,0.002856731414794922
fiqa,s1,648,0.06860666799533154,0.022222222222222223,0.07411204193611601,0.4436502456665039
fiqa,s4,648,0.11634169910418359,0.036882716049382716,0.14787073780129337,5.026148557662964
