dataset,pool_size,g,scorer,n_queries,ndcg10,p10,runtime_s
nfcorpus,6,0.0,F1,323,0.2219,0.1563,17.6
nfcorpus,6,0.0,F2,323,0.2201,0.1563,17.6
nfcorpus,6,0.0,F3,323,0.2647,0.1563,17.6
nfcorpus,6,0.01,F1,323,0.222,0.1563,17.4
nfcorpus,6,0.01,F2,323,0.2171,0.1563,17.4
nfcorpus,6,0.01,F3,323,0.2259,0.1563,17.4
nfcorpus,6,0.05,F1,323,0.2203,0.1563,17.5
nfcorpus,6,0.05,F2,323,0.22,0.1563,17.5
nfcorpus,6,0.05,F3,323,0.2647,0.1563,17.5
nfcorpus,6,0.1,F1,323,0.2207,0.1563,17.3
nfcorpus,6,0.1,F2,323,0.2212,0.1563,17.3
nfcorpus,6,0.1,F3,323,0.2647,0.1563,17.3
nfcorpus,6,0.3,F1,323,0.2203,0.1563,17.3
nfcorpus,6,0.3,F2,323,0.2226,0.1563,17.3
nfcorpus,6,0.3,F3,323,0.2647,0.1563,17.3
nfcorpus,6,1.0,F1,323,0.2202,0.1563,17.4
nfcorpus,6,1.0,F2,323,0.2252,0.1563,17.4
nfcorpus,6,1.0,F3,323,0.2647,0.1563,17.4
nfcorpus,20,0.0,F1,323,0.1615,0.1514,57.0
nfcorpus,20,0.0,F2,323,0.1712,0.1594,57.0
nfcorpus,20,0.0,F3,323,0.3063,0.2173,57.0
nfcorpus,20,0.01,F1,323,0.1622,0.1529,56.9
nfcorpus,20,0.01,F2,323,0.1631,0.156,56.9
nfcorpus,20,0.01,F3,323,0.1794,0.1638,56.9
nfcorpus,20,0.05,F1,323,0.1607,0.1539,56.6
nfcorpus,20,0.05,F2,323,0.162,0.1514,56.6
nfcorpus,20,0.05,F3,323,0.3065,0.2176,56.6
nfcorpus,20,0.1,F1,323,0.1603,0.1533,57.0
nfcorpus,20,0.1,F2,323,0.1667,0.1551,57.0
nfcorpus,20,0.1,F3,323,0.3063,0.2173,57.0
nfcorpus,20,0.3,F1,323,0.1598,0.1523,56.5
nfcorpus,20,0.3,F2,323,0.1705,0.1557,56.5
nfcorpus,20,0.3,F3,323,0.3063,0.2173,56.5
nfcorpus,20,1.0,F1,323,0.1599,0.152,56.4
nfcorpus,20,1.0,F2,323,0.1693,0.1557,56.4
nfcorpus,20,1.0,F3,323,0.3063,0.2173,56.4
scifact,6,0.0,F1,300,0.43,0.082,16.6
scifact,6,0.0,F2,300,0.4082,0.082,16.6
scifact,6,0.0,F3,300,0.6499,0.082,16.6
scifact,6,0.01,F1,300,0.4274,0.082,16.3
scifact,6,0.01,F2,300,0.4176,0.082,16.3
scifact,6,0.01,F3,300,0.4305,0.082,16.3
scifact,6,0.05,F1,300,0.4275,0.082,16.0
scifact,6,0.05,F2,300,0.4362,0.082,16.0
scifact,6,0.05,F3,300,0.6478,0.082,16.0
scifact,6,0.1,F1,300,0.4287,0.082,16.1
scifact,6,0.1,F2,300,0.4281,0.082,16.1
scifact,6,0.1,F3,300,0.6499,0.082,16.1
scifact,6,0.3,F1,300,0.424,0.082,16.1
scifact,6,0.3,F2,300,0.4258,0.082,16.1
scifact,6,0.3,F3,300,0.6499,0.082,16.1
scifact,6,1.0,F1,300,0.4204,0.082,16.3
scifact,6,1.0,F2,300,0.4178,0.082,16.3
scifact,6,1.0,F3,300,0.6499,0.082,16.3
scifact,20,0.0,F1,300,0.1978,0.048,53.4
scifact,20,0.0,F2,300,0.1836,0.0463,53.4
scifact,20,0.0,F3,300,0.6594,0.0853,53.4
scifact,20,0.01,F1,300,0.1928,0.047,52.6
scifact,20,0.01,F2,300,0.1895,0.046,52.6
scifact,20,0.01,F3,300,0.2159,0.0513,52.6
scifact,20,0.05,F1,300,0.191,0.0467,52.5
scifact,20,0.05,F2,300,0.2179,0.0483,52.5
scifact,20,0.05,F3,300,0.6557,0.085,52.5
scifact,20,0.1,F1,300,0.1919,0.047,52.9
scifact,20,0.1,F2,300,0.2123,0.049,52.9
scifact,20,0.1,F3,300,0.6594,0.0853,52.9
scifact,20,0.3,F1,300,0.1912,0.047,52.6
scifact,20,0.3,F2,300,0.197,0.0467,52.6
scifact,20,0.3,F3,300,0.6594,0.0853,52.6
scifact,20,1.0,F1,300,0.1878,0.0463,52.8
scifact,20,1.0,F2,300,0.192,0.045,52.8
scifact,20,1.0,F3,300,0.6594,0.0853,52.8
