group,representation,k,silhouette
IV-A,raw_ab,2,0.1220
IV-A,raw_ab,3,0.0961
IV-A,raw_ab,4,0.0887
IV-A,raw_ab,5,0.0668
IV-A,raw_ab,6,0.0513
IV-A,raw_ab,7,0.0552
IV-A,raw_ab,8,0.0450
IV-A,raw_ab,9,0.0677
IV-A,raw_ab,10,0.0448
IV-A,raw_ab,11,0.0477
IV-A,raw_ab,12,0.0459
IV-A,raw_ab,13,0.0384
IV-A,raw_ab,14,0.0292
IV-A,raw_ab,15,0.0338
IV-A,raw_ab,16,0.0644
IV-A,raw_ab,17,0.0380
IV-A,raw_ab,18,0.0305
IV-A,raw_ab,19,0.0303
IV-A,raw_ab,20,0.0301
IV-A,amplitude,2,0.0155
IV-A,amplitude,3,0.0252
IV-A,amplitude,4,0.0141
IV-A,amplitude,5,0.0049
IV-A,amplitude,6,0.0054
IV-A,amplitude,7,0.0033
IV-A,amplitude,8,0.0128
IV-A,amplitude,9,0.0072
IV-A,amplitude,10,-0.0043
IV-A,amplitude,11,-0.0031
IV-A,amplitude,12,0.0015
IV-A,amplitude,13,-0.0028
IV-A,amplitude,14,-0.0015
IV-A,amplitude,15,-0.0161
IV-A,amplitude,16,0.0048
IV-A,amplitude,17,-0.0031
IV-A,amplitude,18,-0.0039
IV-A,amplitude,19,0.0064
IV-A,amplitude,20,-0.0070
IV-A,phase_cos_sin,2,0.1285
IV-A,phase_cos_sin,3,0.0964
IV-A,phase_cos_sin,4,0.0933
IV-A,phase_cos_sin,5,0.0517
IV-A,phase_cos_sin,6,0.0594
IV-A,phase_cos_sin,7,0.0442
IV-A,phase_cos_sin,8,0.0858
IV-A,phase_cos_sin,9,0.0522
IV-A,phase_cos_sin,10,0.0603
IV-A,phase_cos_sin,11,0.0402
IV-A,phase_cos_sin,12,0.0193
IV-A,phase_cos_sin,13,0.0535
IV-A,phase_cos_sin,14,0.0401
IV-A,phase_cos_sin,15,0.0303
IV-A,phase_cos_sin,16,0.0638
IV-A,phase_cos_sin,17,0.0277
IV-A,phase_cos_sin,18,0.0146
IV-A,phase_cos_sin,19,0.0262
IV-A,phase_cos_sin,20,0.0300
IV-B,raw_ab,2,0.0571
IV-B,raw_ab,3,0.0510
IV-B,raw_ab,4,0.0461
IV-B,raw_ab,5,0.0452
IV-B,raw_ab,6,0.0335
IV-B,raw_ab,7,0.0360
IV-B,raw_ab,8,0.0336
IV-B,raw_ab,9,0.0317
IV-B,raw_ab,10,0.0395
IV-B,raw_ab,11,0.0318
IV-B,raw_ab,12,0.0368
IV-B,raw_ab,13,0.0355
IV-B,raw_ab,14,0.0290
IV-B,raw_ab,15,0.0323
IV-B,raw_ab,16,0.0325
IV-B,raw_ab,17,0.0337
IV-B,raw_ab,18,0.0368
IV-B,raw_ab,19,0.0356
IV-B,raw_ab,20,0.0366
IV-B,amplitude,2,0.0317
IV-B,amplitude,3,0.0235
IV-B,amplitude,4,0.0230
IV-B,amplitude,5,0.0244
IV-B,amplitude,6,0.0185
IV-B,amplitude,7,0.0251
IV-B,amplitude,8,0.0244
IV-B,amplitude,9,0.0263
IV-B,amplitude,10,0.0208
IV-B,amplitude,11,0.0267
IV-B,amplitude,12,0.0292
IV-B,amplitude,13,0.0232
IV-B,amplitude,14,0.0188
IV-B,amplitude,15,0.0224
IV-B,amplitude,16,0.0233
IV-B,amplitude,17,0.0222
IV-B,amplitude,18,0.0219
IV-B,amplitude,19,0.0275
IV-B,amplitude,20,0.0275
IV-B,phase_cos_sin,2,0.0545
IV-B,phase_cos_sin,3,0.0486
IV-B,phase_cos_sin,4,0.0423
IV-B,phase_cos_sin,5,0.0380
IV-B,phase_cos_sin,6,0.0363
IV-B,phase_cos_sin,7,0.0339
IV-B,phase_cos_sin,8,0.0398
IV-B,phase_cos_sin,9,0.0304
IV-B,phase_cos_sin,10,0.0375
IV-B,phase_cos_sin,11,0.0282
IV-B,phase_cos_sin,12,0.0276
IV-B,phase_cos_sin,13,0.0376
IV-B,phase_cos_sin,14,0.0250
IV-B,phase_cos_sin,15,0.0319
IV-B,phase_cos_sin,16,0.0274
IV-B,phase_cos_sin,17,0.0345
IV-B,phase_cos_sin,18,0.0318
IV-B,phase_cos_sin,19,0.0307
IV-B,phase_cos_sin,20,0.0330
