u_center,fraction
0.050,0.042699
0.150,0.020184
0.250,0.014998
0.350,0.015304
0.450,0.018434
0.550,0.023184
0.650,0.028958
0.750,0.033456
0.850,0.035623
0.950,0.035964
1.050,0.033675
1.150,0.030216
1.250,0.025909
1.350,0.022124
1.450,0.018573
1.550,0.015985
1.650,0.013670
1.750,0.011277
1.850,0.009378
1.950,0.007523
2.050,0.005802
2.150,0.004230
2.250,0.002954
2.350,0.001893
2.450,0.001192
2.550,0.000693
2.650,0.000398
2.750,0.000194
2.850,0.000118
2.950,0.000045
3.050,0.000024
3.150,0.000010
3.250,0.000006
3.350,0.000002
3.450,0.000003
3.550,0.000001
3.650,0.000000
3.750,0.000001
3.850,0.000000
3.950,0.000002
4.050,0.000001
4.150,0.000002
4.250,0.000002
4.350,0.000001
4.450,0.000000
4.550,0.000000
4.650,0.000001
4.750,0.000000
4.850,0.000000
4.950,0.000000
5.050,0.000000
5.150,0.000000
5.250,0.000000
5.350,0.000000
5.450,0.000000
5.550,0.000000
5.650,0.000000
5.750,0.000000
5.850,0.000000
5.950,0.000001
6.050,0.000000
6.150,0.000001
6.250,0.000000
6.350,0.000000
6.450,0.000000
6.550,0.000000
6.650,0.000000
6.750,0.000000
6.850,0.000001
6.950,0.000000
7.050,0.000000
7.150,0.000000
7.250,0.000000
7.350,0.000000
7.450,0.000000
7.550,0.000000
7.650,0.000000
7.750,0.000000
7.850,0.000000
7.950,0.000000
8.050,0.000000
8.150,0.000000
8.250,0.000000
8.350,0.000000
8.450,0.000000
8.550,0.000000
8.650,0.000000
8.750,0.000000
8.850,0.000000
8.950,0.000000
9.050,0.000002
9.150,0.000000
9.250,0.000000
9.350,0.000000
9.450,0.000000
9.550,0.000000
9.650,0.000000
9.750,0.000001
9.850,0.000000
9.950,0.000000
10.050,0.000001
10.150,0.000000
10.250,0.000000
10.350,0.000000
10.450,0.000000
10.550,0.000000
10.650,0.000000
10.750,0.000000
10.850,0.000000
10.950,0.000000
11.050,0.000000
11.150,0.000000
11.250,0.000000
11.350,0.000000
11.450,0.000000
11.550,0.000000
11.650,0.000000
11.750,0.000000
11.850,0.000000
11.950,0.000000
12.050,0.000000
12.150,0.000000
12.250,0.000000
12.350,0.000000
12.450,0.000000
12.550,0.000000
12.650,0.000000
12.750,0.000000
12.850,0.000000
12.950,0.000000
13.050,0.000000
13.150,0.000000
13.250,0.000000
13.350,0.000000
13.450,0.000000
13.550,0.000000
13.650,0.000000
13.750,0.000000
13.850,0.000000
13.950,0.000000
14.050,0.000000
14.150,0.000000
14.250,0.000000
14.350,0.000000
14.450,0.000000
14.550,0.000000
14.650,0.000000
14.750,0.000000
14.850,0.000000
14.950,0.000000
15.050,0.000000
15.150,0.000000
15.250,0.000000
15.350,0.000000
15.450,0.000000
15.550,0.000000
15.650,0.000000
15.750,0.000000
15.850,0.000000
15.950,0.000000
16.050,0.000000
16.150,0.000000
16.250,0.000000
16.350,0.000000
16.450,0.000000
16.550,0.000000
16.650,0.000000
16.750,0.000000
16.850,0.000000
16.950,0.000000
17.050,0.000000
17.150,0.000000
17.250,0.000000
17.350,0.000000
17.450,0.000000
17.550,0.000000
17.650,0.000000
17.750,0.000000
17.850,0.000000
17.950,0.000000
18.050,0.525269
18.150,0.000000
18.250,0.000000
18.350,0.000000
18.450,0.000000
18.550,0.000000
18.650,0.000000
18.750,0.000000
18.850,0.000000
18.950,0.000000
19.050,0.000000
19.150,0.000000
19.250,0.000000
19.350,0.000000
19.450,0.000000
19.550,0.000000
19.650,0.000000
19.750,0.000000
19.850,0.000000
19.950,0.000000
