repr,k,silhouette,inertia
raw_ab,2,0.05438196659088135,1324956.875
raw_ab,3,0.04028112813830376,1280110.625
raw_ab,4,0.05099796876311302,1219826.25
raw_ab,5,0.03874066844582558,1182157.875
amplitude,2,0.15018565952777863,16821.533203125
amplitude,3,0.04887424036860466,16511.94140625
amplitude,4,0.07234971970319748,16215.6689453125
amplitude,5,0.071259044110775,15841.60546875
phase_cos_sin,2,0.05508476123213768,1309514.75
phase_cos_sin,3,0.0407036729156971,1264103.625
phase_cos_sin,4,0.051531676203012466,1204239.0
phase_cos_sin,5,0.03924257308244705,1166626.125
